sequence_id,timestamp_us,x,y,w,h,class_id,confidence
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323093864296,261,196,6,7,0,0.3099
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323095144296,287,196,7,7,0,0.3541
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323095264296,290,196,7,8,0,0.3517
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323095864296,301,197,7,8,0,0.3915
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323095904296,302,196,7,7,0,0.5868
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323095944296,301,196,7,6,0,0.413
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323096704296,319,199,8,7,0,0.4412
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323109864296,204,42,14,21,0,0.4375
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323109904296,194,129,13,23,0,0.3931
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323109944296,185,213,14,25,0,0.388
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323109984296,182,248,17,29,0,0.3537
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323132304296,226,43,8,9,0,0.3552
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323139904296,225,28,15,26,0,0.4545
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323139944296,212,161,14,24,0,0.4896
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323139984296,204,248,15,26,0,0.4214
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323169944296,243,58,14,25,0,0.3831
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323169984296,229,226,13,19,0,0.4479
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323170024296,229,237,15,27,0,0.3994
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323229984296,118,253,14,20,0,0.5049
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323230024296,131,132,13,17,0,0.429
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323230064296,141,23,15,27,0,0.4312
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323230104296,143,7,14,21,0,0.487
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323260024296,129,240,13,21,0,0.4474
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323260064296,136,164,14,27,0,0.3723
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323260104296,145,77,15,23,0,0.4926
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323260144296,152,7,14,23,0,0.4582
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323290064296,133,251,13,20,0,0.4666
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323290104296,140,196,13,26,0,0.4632
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323290144296,146,137,15,19,0,0.4849
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323290184296,153,83,14,24,0,0.5026
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323290224296,160,23,15,19,0,0.5014
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323290264296,163,4,16,24,0,0.4343
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320104296,100,258,9,11,0,0.4019
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320144296,114,226,15,22,0,0.4872
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320184296,132,186,16,20,0,0.4896
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320224296,146,150,17,23,0,0.4286
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320264296,164,112,16,22,0,0.4626
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320304296,182,72,16,18,0,0.4896
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320344296,197,37,15,22,0,0.4488
DAVIS_COSMOS1933_18958_2024-12-04-18-37-01,1733323320384296,210,7,16,22,0,0.4329
